country,year,emissions
Sierra Leone,1850,0.0
Sierra Leone,1851,0.0
Sierra Leone,1852,0.0
Sierra Leone,1853,0.0
Sierra Leone,1854,0.0
Sierra Leone,1855,0.0
Sierra Leone,1856,0.0
Sierra Leone,1857,0.0
Sierra Leone,1858,0.0
Sierra Leone,1859,0.0
Sierra Leone,1860,0.0
Sierra Leone,1861,0.0
Sierra Leone,1862,0.0
Sierra Leone,1863,0.0
Sierra Leone,1864,0.0
Sierra Leone,1865,0.0
Sierra Leone,1866,0.0
Sierra Leone,1867,0.0
Sierra Leone,1868,0.0
Sierra Leone,1869,0.0
Sierra Leone,1870,0.0
Sierra Leone,1871,0.0
Sierra Leone,1872,0.0
Sierra Leone,1873,0.0
Sierra Leone,1874,0.0
Sierra Leone,1875,0.0
Sierra Leone,1876,0.0
Sierra Leone,1877,0.0
Sierra Leone,1878,0.0
Sierra Leone,1879,0.0
Sierra Leone,1880,0.0
Sierra Leone,1881,0.0
Sierra Leone,1882,0.0
Sierra Leone,1883,0.0
Sierra Leone,1884,0.0
Sierra Leone,1885,0.0
Sierra Leone,1886,0.0
Sierra Leone,1887,0.0
Sierra Leone,1888,0.0
Sierra Leone,1889,0.0
Sierra Leone,1890,0.0
Sierra Leone,1891,0.0
Sierra Leone,1892,0.0
Sierra Leone,1893,0.0
Sierra Leone,1894,0.0
Sierra Leone,1895,0.0
Sierra Leone,1896,0.0
Sierra Leone,1897,0.0
Sierra Leone,1898,0.0
Sierra Leone,1899,0.0
Sierra Leone,1900,0.0
Sierra Leone,1901,0.0
Sierra Leone,1902,0.0
Sierra Leone,1903,0.0
Sierra Leone,1904,0.0
Sierra Leone,1905,0.0
Sierra Leone,1906,0.0
Sierra Leone,1907,0.0
Sierra Leone,1908,0.0
Sierra Leone,1909,0.0
Sierra Leone,1910,0.0
Sierra Leone,1911,0.0
Sierra Leone,1912,0.0
Sierra Leone,1913,0.0
Sierra Leone,1914,0.0
Sierra Leone,1915,0.0
Sierra Leone,1916,0.0
Sierra Leone,1917,0.0
Sierra Leone,1918,0.0
Sierra Leone,1919,0.0
Sierra Leone,1920,0.0
Sierra Leone,1921,0.0
Sierra Leone,1922,0.0
Sierra Leone,1923,0.0
Sierra Leone,1924,0.0
Sierra Leone,1925,0.0
Sierra Leone,1926,0.0
Sierra Leone,1927,0.0
Sierra Leone,1928,0.0
Sierra Leone,1929,0.0
Sierra Leone,1930,0.0
Sierra Leone,1931,0.0
Sierra Leone,1932,0.0
Sierra Leone,1933,0.0
Sierra Leone,1934,0.0
Sierra Leone,1935,0.0
Sierra Leone,1936,0.0
Sierra Leone,1937,0.0
Sierra Leone,1938,0.0
Sierra Leone,1939,0.0
Sierra Leone,1940,0.0
Sierra Leone,1941,0.0
Sierra Leone,1942,0.0
Sierra Leone,1943,0.0
Sierra Leone,1944,0.0
Sierra Leone,1945,0.0
Sierra Leone,1946,0.0
Sierra Leone,1947,0.0
Sierra Leone,1948,0.0
Sierra Leone,1949,0.0
Sierra Leone,1950,0.16
Sierra Leone,1951,0.1
Sierra Leone,1952,0.18
Sierra Leone,1953,0.17
Sierra Leone,1954,0.13
Sierra Leone,1955,0.18
Sierra Leone,1956,0.18
Sierra Leone,1957,0.39
Sierra Leone,1958,0.21
Sierra Leone,1959,0.24
Sierra Leone,1960,0.71
Sierra Leone,1961,0.29
Sierra Leone,1962,0.33
Sierra Leone,1963,0.37
Sierra Leone,1964,0.3
Sierra Leone,1965,0.28
Sierra Leone,1966,0.3
Sierra Leone,1967,0.25
Sierra Leone,1968,0.38
Sierra Leone,1969,1.11
Sierra Leone,1970,0.87
Sierra Leone,1971,0.8
Sierra Leone,1972,0.68
Sierra Leone,1973,0.54
Sierra Leone,1974,0.52
Sierra Leone,1975,0.52
Sierra Leone,1976,0.45
Sierra Leone,1977,0.51
Sierra Leone,1978,0.71
Sierra Leone,1979,0.68
Sierra Leone,1980,0.61
Sierra Leone,1981,0.69
Sierra Leone,1982,0.55
Sierra Leone,1983,0.69
Sierra Leone,1984,0.62
Sierra Leone,1985,0.66
Sierra Leone,1986,0.67
Sierra Leone,1987,0.5
Sierra Leone,1988,0.46
Sierra Leone,1989,0.37
Sierra Leone,1990,0.49
Sierra Leone,1991,0.55
Sierra Leone,1992,0.45
Sierra Leone,1993,0.45
Sierra Leone,1994,0.51
Sierra Leone,1995,0.4
Sierra Leone,1996,0.47
Sierra Leone,1997,0.44
Sierra Leone,1998,0.41
Sierra Leone,1999,0.37
Sierra Leone,2000,0.43
Sierra Leone,2001,0.57
Sierra Leone,2002,0.6
Sierra Leone,2003,0.65
Sierra Leone,2004,0.64
Sierra Leone,2005,0.55
Sierra Leone,2006,0.73
Sierra Leone,2007,0.64
Sierra Leone,2008,0.66
Sierra Leone,2009,0.65
Sierra Leone,2010,0.73
Sierra Leone,2011,0.9
Sierra Leone,2012,1.03
Sierra Leone,2013,1.19
